word,reading,pos,meaning,collocation,quadrant,count
楽しむ,たのしむ,動詞,享受,音楽を楽しむ / 旅行を楽しむ / 生活を楽しむ,隐藏考点,71
夢,ゆめ,名詞,梦想,,隐藏考点,71
次,つぎ,名詞,下一个,,隐藏考点,70
世界,せかい,名詞,世界,,隐藏考点,70
目,め,名詞,眼睛,,隐藏考点,70
違う,ちがう,動詞,不同,意見が違う / 方向が違う / 性格が違う,隐藏考点,69
部下,ぶか,名詞,下属,,隐藏考点,69
販売,はんばい,名·他サ,贩卖,商品を販売する / 製品を販売する / オンラインで販売する,黄金词,68
勉強,べんきょう,名詞,学习,,隐藏考点,68
意識,いしき,名,意识,意識を失う（失去知觉）,黄金词,67
正しい,ただしい,形容詞,正确,,隐藏考点,67
すべて,すべて,名詞,全部,,隐藏考点,67
最も,もっとも,副詞,最,最も重要な / 最も効果的な / 最も一般的な,隐藏考点,67
興味,きょうみ,名詞,兴趣,,隐藏考点,67
強い,つよい,形容詞,强,,隐藏考点,67
悪い,わるい,形容詞,坏,,隐藏考点,66
本当,ほんとう,名詞,真实,,隐藏考点,66
送る,おくる,動詞,发送,メールを送る / 荷物を送る / 時間を送る,隐藏考点,66
体,からだ,名詞,身体,,隐藏考点,66
変わる,かわる,動詞,变化,状況が変わる / 生活が変わる / 考えが変わる,隐藏考点,65
方法,ほうほう,名詞,方法,,隐藏考点,65
努力,どりょく,名詞,努力,,隐藏考点,65
確認,かくにん,名詞,确认,,隐藏考点,64
メール,めーる,名詞,邮件,,隐藏考点,64
今日,きょう,名詞,今天,,隐藏考点,64
楽しい,たのしい,形容詞,快乐,,隐藏考点,63
増える,ふえる,動詞,增加,人口が増える / 数が増える / コストが増える,隐藏考点,63
練習,れんしゅう,名詞,练习,,隐藏考点,59
時代,じだい,名詞,时代,,隐藏考点,59
学生,がくせい,名詞,学生,,隐藏考点,59
様々,さまざま,形状詞,各种,様々な方法 / 様々な問題 / 様々な視点,隐藏考点,58
見える,みえる,動詞,看见,景色が見える / 影が見える / 遠くが見える,隐藏考点,58
一人,ひとり,名詞,一个人,,隐藏考点,58
写真,しゃしん,名詞,照片,,隐藏考点,58
イメージ,いめーじ,名詞,形象,,隐藏考点,58
答え,こたえ,名詞,答案,,隐藏考点,58
社員,しゃいん,名詞,员工,,隐藏考点,58
評価,ひょうか,名·他サ,评价,過大/小評価（过高/低评价）,黄金词,57
頃,ころ,名詞,时候,,隐藏考点,57
速い,はやい,形容詞,快,,隐藏考点,57
会議,かいぎ,名詞,会议,,隐藏考点,57
全体,ぜんたい,名詞,整体,,隐藏考点,57
覚える,おぼえる,動詞,记住,単語を覚える / 方法を覚える / 経験を覚える,隐藏考点,57
すぐ,すぐ,副詞,马上,すぐ対応する / すぐ確認する / すぐ連絡する,隐藏考点,57
しかる,しかり,動詞,责备,子供をしかる / 部下をしかる,隐藏考点,57
他人,たにん,名,他人,,黄金词,56
とても,とても,副詞,非常,とても大切だ / とても重要だ / とても便利だ,隐藏考点,56
そんな,そんな,形状詞,那样,そんな状況 / そんなことはない / そんな方法,隐藏考点,56
うける,うける,動詞,受欢迎,影響をうける / 試験をうける / 注文をうける,隐藏考点,56
皆,みな,名詞,大家,,隐藏考点,56
準備,じゅんび,名詞,准备,,隐藏考点,56
解決,かいけつ,名詞,解决,,隐藏考点,56
必ず,かならず,副詞,一定,必ず守る / 必ず確認する / 必ず出席する,隐藏考点,56
研究,けんきゅう,名詞,研究,,隐藏考点,56
入れる,いれる,動詞,放入,荷物を入れる / 砂糖を入れる / 計画に入れる,隐藏考点,56
少し,すこし,副詞,一点,少し待つ / 少し難しい / 少しずつ進む,隐藏考点,55
目的,もくてき,名詞,目的,,隐藏考点,55
申し込み,もうしこみ,名詞,申请,,隐藏考点,55
決断,けつだん,名詞,决断,,隐藏考点,55
先,さき,名詞,前,,隐藏考点,55
せんたく,せんたく,名詞,选择,,隐藏考点,55
ぼく,ぼく,代名詞,我,,隐藏考点,55
求める,もとめる,他下一,寻求； 请求,職を求める（求职）,黄金词,54
変化,へんか,名詞,变化,,隐藏考点,54
大きな,おおきな,連体詞,大的,,隐藏考点,54
決める,きめる,動詞,决定,計画を決める / 方針を決める / 時間を決める,隐藏考点,54
長い,ながい,形容詞,长,,隐藏考点,54
あいさつ,あいさつ,名詞,问候,,隐藏考点,54
道,みち,名詞,道路,,隐藏考点,54
個性,こせい,名詞,个性,,隐藏考点,54
印刷,いんさつ,名·他サ,印刷,書類を印刷する / 資料を印刷する / データを印刷する,黄金词,53
選手,せんしゅ,名詞,选手,,隐藏考点,53
意見,いけん,名詞,意见,,隐藏考点,53
文化,ぶんか,名詞,文化,,隐藏考点,53
条件,じょうけん,名詞,条件,,隐藏考点,52
案内,あんない,名詞,引导,,隐藏考点,52
語,ご,名詞,语言,,隐藏考点,52
記憶,きおく,名,记忆,記憶がよい（记性好）,黄金词,51
選択,せんたく,名詞,选择,,隐藏考点,51
注文,ちゅうもん,名詞,订单,,隐藏考点,51
料金,りょうきん,名詞,费用,,隐藏考点,51
もう,もう,副詞,已经,もう十分だ / もう終わった / もう一度する,隐藏考点,51
目標,もくひょう,名詞,目标,,隐藏考点,51
気づく,きづく,動詞,察觉,問題に気づく / 変化に気づく / 間違いに気づく,隐藏考点,50
最近,さいきん,名詞,最近,,隐藏考点,49
まだ,まだ,副詞,还,まだ続ける / まだ足りない / まだ間に合う,隐藏考点,49
たくさん,たくさん,副詞,很多,たくさん食べる / たくさん勉強する / たくさん使う,隐藏考点,49
割引,わりびき,名詞,折扣,,隐藏考点,49
資料,しりょう,名詞,资料,,隐藏考点,49
走れる,はしる,動詞,能走,速く走れる / 長距離を走れる,隐藏考点,49
面白い,おもしろい,形容詞,有趣,,隐藏考点,48
回,かい,名詞,次,,隐藏考点,48
存在,そんざい,名·自サ,存在,社会に存在する / 確かに存在する / 大きく存在する,黄金词,47
場,ば,名,场所，地方,,黄金词,47
判断,はんだん,名·他サ,判断,判断を下す（下判断）,黄金词,47
文字,もじ,名詞,文字,,隐藏考点,47
申し込める,もうしこむ,動詞,可申请,コースに申し込める / 試験に申し込める,隐藏考点,47
旅行,りょこう,名詞,旅行,,隐藏考点,47
立つ,たつ,動詞,站立,役に立つ / 目立つ / 計画が立つ,隐藏考点,47
異なる,ことなる,自五,不同,姓が異なる（姓名不同）,黄金词,46
動物,どうぶつ,名詞,动物,,隐藏考点,46
技術,ぎじゅつ,名詞,技术,,隐藏考点,46
難しい,むずかしい,形容詞,困难,,隐藏考点,46
感,かん,名詞,感觉,,隐藏考点,46
ホーム,ほーむ,名詞,主页,,隐藏考点,46
文,ぶん,名詞,文,,隐藏考点,46
社,しゃ,名詞,公司,,隐藏考点,46
一緒,いっしょ,名詞,一起,,隐藏考点,46
絵,え,名詞,画,,隐藏考点,46
見つける,みつける,動詞,找到,方法を見つける / 解決策を見つける / 仕事を見つける,隐藏考点,46
自信,じしん,名詞,自信,,隐藏考点,45
量,りょう,名詞,量,,隐藏考点,45
旅,たび,名詞,旅,,隐藏考点,45
はじめて,はじめて,副詞,第一次,はじめて経験する / はじめて会う / はじめて知る,隐藏考点,45
先生,せんせい,名詞,老师,,隐藏考点,45
状態,じょうたい,名詞,状态,,隐藏考点,45
図書,としょ,名,图书,,黄金词,44
生まれる,うまれる,動詞,出生,子供が生まれる / アイデアが生まれる / 可能性が生まれる,隐藏考点,44
期間,きかん,名詞,期间,,隐藏考点,44
上司,じょうし,名詞,上司,,隐藏考点,44
予定,よてい,名詞,计划,,隐藏考点,44
国,くに,名詞,国家,,隐藏考点,43
課,か,名詞,课,,隐藏考点,43
最初,さいしょ,名詞,最初,,隐藏考点,43
数,すう,名詞,数,,隐藏考点,43
メモ,めも,名詞,备忘,,隐藏考点,43
状況,じょうきょう,名,状况,,黄金词,42
効果,こうか,名詞,效果,,隐藏考点,42
働く,はたらく,動詞,工作,会社で働く / 海外で働く / 夜遅くまで働く,隐藏考点,42
作業,さぎょう,名詞,作业,,隐藏考点,42
影響,えいきょう,名·自サ,影响,社会に影響する / 生活に影響する / 大きく影響する,黄金词,41
組織,そしき,名,组织,,黄金词,41
合わせる,あわせる,動詞,结合,時間を合わせる / 意見を合わせる / リズムを合わせる,隐藏考点,41
はず,はず,名詞,应该,,隐藏考点,41
感情,かんじょう,名詞,情感,,隐藏考点,41
消費,しょうひ,名詞,消费,,隐藏考点,41
失敗,しっぱい,名詞,失败,,隐藏考点,41
緊張,きんちょう,名·自サ,紧张,緊張した顔つき（紧张的神色）,黄金词,40
ほめる,ほめる,動詞,赞美,子供をほめる / 作品をほめる / 成績をほめる,隐藏考点,40
使用,しよう,名詞,使用,,隐藏考点,40
化,ばける,接尾辞,变化,,隐藏考点,40
十分,じゅうふん,副詞,充分,十分に準備する / 十分に理解する / 十分な時間,隐藏考点,40
声,こえ,名詞,声音,,隐藏考点,40
より,より,副詞,更,よりよくなる / より多くする / より効果的な,隐藏考点,40
不安,ふあん,名詞,不安,,隐藏考点,40
科学,かがく,名詞,科学,,隐藏考点,40
開発,かいはつ,名詞,开发,,隐藏考点,40
感動,かんどう,名詞,感动,,隐藏考点,40
色,いろ,名詞,颜色,,隐藏考点,40
実,じつ,名,果实,,黄金词,39
つながる,つながる,自五,相连，相关,事件につながる人々（与事件有牵连的人们）,黄金词,39
認める,みとめる,他下一,承认；准许,欠点 [けってん] を認める（承认缺点）,黄金词,39
まま,まま,名詞,如常,,隐藏考点,39
宇宙,うちゅう,名詞,宇宙,,隐藏考点,39
別,べつ,名詞,不同,,隐藏考点,39
いろいろ,いろいろ,副詞,各种,いろいろ試す / いろいろな方法 / いろいろ考える,隐藏考点,39
学ぶ,まなぶ,動詞,学习,経験から学ぶ / 日本語を学ぶ / 歴史を学ぶ,隐藏考点,39
特別,とくべつ,形状詞,特别,特別な機会 / 特別に扱う / 特別な意味がある,隐藏考点,39
サービス,さーびす,名詞,服务,,隐藏考点,39
手,て,名詞,手,,隐藏考点,39
つまり,つまり,副,即，也就是说,つまりそういうことだ / つまり説明する / つまり答えは,黄金词,38
アイディア,あいでぃあ,名詞,主意,,隐藏考点,38
教育,きょういく,名詞,教育,,隐藏考点,38
自由,じゆう,名詞,自由,,隐藏考点,38
大事,だいじ,形状詞,重要,大事にする / 大事な情報 / とても大事だ,隐藏考点,38
なくなる,なくなる,動詞,消失,問題がなくなる / 記憶がなくなる / 機会がなくなる,隐藏考点,38
やめる,やめる,動詞,停止,仕事をやめる / 習慣をやめる / 計画をやめる,隐藏考点,38
役,やく,名詞,角色,,隐藏考点,38
スポーツ,すぽーつ,名詞,运动,,隐藏考点,38
注意,ちゅうい,名詞,注意,,隐藏考点,37
想像,そうぞう,名詞,想象,,隐藏考点,37
運動,うんどう,名詞,运动,,隐藏考点,37
企業,きぎょう,名詞,企业,,隐藏考点,37
思い,おもい,名詞,想法,,隐藏考点,37
料,りょう,接尾辞,材料,,隐藏考点,37
集団,しゅうだん,名,集体,,黄金词,36
描く,えがく,他五,描绘,絵を描く（画画）,黄金词,36
せい,せい,名詞,原因,,隐藏考点,36
役割,やくわり,名詞,角色,,隐藏考点,36
不足,ふそく,名詞,不足,,隐藏考点,36
作成,さくせい,名·他サ,写，作,報告書を作成する（写报告）,黄金词,35
思考,しこう,名·自他サ,思考,問題を思考する / 深く思考する / 柔軟に思考する,黄金词,35
さらに,さらに,副詞,进一步,さらに発展する / さらに良くなる / さらに増える,隐藏考点,35
理由,りゆう,名詞,理由,,隐藏考点,35
法,ほう,名詞,法律,,隐藏考点,35
さい,さい,名詞,时,,隐藏考点,35
留学,りゅうがく,名詞,留学,,隐藏考点,35
生産,せいさん,名詞,生产,,隐藏考点,35
とも,とも,名詞,一起,,隐藏考点,34
重視,じゅうし,名詞,重视,,隐藏考点,34
おく,おく,動詞,放置,荷物をおく / 選択肢をおく / 資料をおく,隐藏考点,34
原因,げんいん,名詞,原因,,隐藏考点,34
現在,げんざい,名詞,现在,,隐藏考点,34
会,かい,名詞,会议,,隐藏考点,34
大変,たいへん,副詞,严重,大変お世話になる / 大変重要だ / 大変困る,隐藏考点,34
人々,ひとびと,名詞,人们,,隐藏考点,34
当日,とうじつ,名詞,当天,,隐藏考点,34
購入,こうにゅう,名詞,购买,,隐藏考点,34
すむ,すむ,動詞,居住,仕事がすむ / 問題がすむ / 話し合いがすむ,隐藏考点,34
限る,かぎる,動詞,限制,範囲を限る / 参加者を限る / 期間を限る,隐藏考点,34
好き嫌い,すききらい,名詞,喜好,,隐藏考点,34
ロボット,ろぼっと,名詞,机器人,,隐藏考点,34
深い,ふかい,形容詞,深,,隐藏考点,34
進む,すすむ,動詞,前进,計画が進む / 議論が進む / 仕事が進む,隐藏考点,33
印象,いんしょう,名詞,印象,,隐藏考点,33
製品,せいひん,名詞,产品,,隐藏考点,33
協力,きょうりょく,名詞,合作,,隐藏考点,33
機会,きかい,名詞,机会,,隐藏考点,33
共通,きょうつう,名詞,共同,,隐藏考点,33
明日,あす,名詞,明天,,隐藏考点,33
活動,かつどう,名詞,活动,,隐藏考点,33
代,だい,接尾辞,时代,,隐藏考点,33
製造,せいぞう,名詞,制造,,隐藏考点,33
価格,かかく,名詞,价格,,隐藏考点,33
品,しな,接尾辞,物品,,隐藏考点,33
団体,だんたい,名詞,团体,,隐藏考点,33
逃げる,にげる,動詞,逃跑,危険から逃げる / 現実から逃げる / 責任から逃げる,隐藏考点,33
安い,やすい,形容詞,便宜,,隐藏考点,32
成長,せいちょう,名詞,成长,,隐藏考点,32
たった,ただ,副詞,仅仅,たった一つ / たった今 / たった一人,隐藏考点,32
疑問,ぎもん,名詞,疑问,,隐藏考点,32
嫌,いや,形状詞,讨厌,嫌になる / 嫌な気持ち / 嫌な状況,隐藏考点,32
一番,いちばん,副詞,第一,一番大切だ / 一番効果的だ / 一番好きだ,隐藏考点,32
午前,ごぜん,名詞,上午,,隐藏考点,32
多様,たよう,形状詞,多样,多様な方法 / 多様な文化 / 多様な意見,隐藏考点,32
若い,わかい,形容詞,年轻,,隐藏考点,32
ガラス,がらす,名詞,玻璃,,隐藏考点,32
工夫,くふう,名·他サ,想办法,あれこれ工夫する（千方百计）,黄金词,31
営業,えいぎょう,名詞,营业,,隐藏考点,31
たしか,たしか,副詞,确实,たしか正しい / たしか覚えている / たしかそうだ,隐藏考点,31
増やす,ふやす,動詞,增加,数を増やす / 収入を増やす / 機会を増やす,隐藏考点,31
会話,かいわ,名詞,对话,,隐藏考点,31
例えば,たとえば,副詞,例如,例えば使う / 例えば挙げる / 例えば説明する,隐藏考点,31
他者,たしゃ,名詞,他人,,隐藏考点,31
探す,さがす,動詞,寻找,仕事を探す / 解決策を探す / 方法を探す,隐藏考点,31
昔,むかし,名詞,昔日,,隐藏考点,31
ノート,のーと,名詞,笔记本,,隐藏考点,31
部分,ぶぶん,名詞,部分,,隐藏考点,31
管理,かんり,名詞,管理,,隐藏考点,31
市民,しみん,名詞,市民,,隐藏考点,31
毎日,まいにち,名詞,每天,,隐藏考点,31
駅,えき,名詞,车站,,隐藏考点,31
しっかり,しっかり,副詞,牢固,しっかり準備する / しっかり確認する / しっかり学ぶ,隐藏考点,31
コピー,こぴー,名詞,复印,,隐藏考点,31
安全,あんぜん,名詞,安全,,隐藏考点,31
よろこび,よろこび,名詞,喜悦,,隐藏考点,31
成果,せいか,名詞,成果,,隐藏考点,31
嫌い,きらい,名詞,讨厌,,隐藏考点,31
午後,ごご,名詞,下午,,隐藏考点,31
歩く,あるく,動詞,走,道を歩く / 一人で歩く / 毎日歩く,隐藏考点,31
関心,かんしん,名,感兴趣,関心がある（感兴趣）,黄金词,30
姿,すがた,名,姿态,,黄金词,30
守る,まもる,動詞,保护,規則を守る / 約束を守る / 環境を守る,隐藏考点,30
センター,せんたー,名詞,中心,,隐藏考点,30
番号,ばんごう,名詞,号码,,隐藏考点,30
パソコン,ぱそこん,名詞,电脑,,隐藏考点,30
生かす,いかす,動詞,活用,経験を生かす / 才能を生かす / 時間を生かす,隐藏考点,30
変更,へんこう,名詞,变更,,隐藏考点,30
成功,せいこう,名詞,成功,,隐藏考点,30
読書,どくしょ,名詞,阅读,,隐藏考点,30
広告,こうこく,名詞,广告,,隐藏考点,30
実際,じっさい,名,实际,,黄金词,29
インターネット,いんたーねっと,名詞,互联网,,隐藏考点,29
簡単,かんたん,形状詞,简单,簡単に理解する / 簡単な方法 / 簡単に使える,隐藏考点,29
木,き,名詞,树,,隐藏考点,29
積極,せっきょく,名詞,积极,,隐藏考点,29
新,しん,接頭辞,新,,隐藏考点,29
届く,とどく,動詞,到达,荷物が届く / メッセージが届く / 声が届く,隐藏考点,29
競争,きょうそう,名詞,竞争,,隐藏考点,29
連絡,れんらく,名詞,联系,,隐藏考点,29
市場,しじょう,名詞,市场,,隐藏考点,29
体験,たいけん,名詞,体验,,隐藏考点,29
優れる,すぐれる,自下一,优秀；好，佳,優れた学者（杰出的学者）,黄金词,28
料理,りょうり,名詞,料理,,隐藏考点,28
味,あじ,名詞,味道,,隐藏考点,28
周囲,しゅうい,名詞,周围,,隐藏考点,28
決まる,きまる,動詞,决定,日程が決まる / 方針が決まる / 結果が決まる,隐藏考点,28
種類,しゅるい,名詞,种类,,隐藏考点,28
調査,ちょうさ,名詞,调查,,隐藏考点,28
昨日,きのう,名詞,昨天,,隐藏考点,28
もっと,もっと,副詞,更多,もっと勉強する / もっと良くなる / もっと大切にする,隐藏考点,28
関する,かんする,動詞,有关,問題に関する / 研究に関する / 法律に関する,隐藏考点,28
比べる,くらべる,動詞,比较,価格を比べる / 方法を比べる / 結果を比べる,隐藏考点,28
高校,こうこう,名詞,高中,,隐藏考点,28
支払う,しはらう,動詞,支付,料金を支払う / 税金を支払う / 代金を支払う,隐藏考点,28
無理,むり,名詞,不可能,,隐藏考点,28
対象,たいしょう,名詞,对象,,隐藏考点,28
部,ぶ,名詞,部,,隐藏考点,28
おいしい,おいしい,形容詞,美味,,隐藏考点,28
小,しょう,接頭辞,小,,隐藏考点,28
クラス,くらす,名詞,班级,,隐藏考点,28
作家,さっか,名詞,作家,,隐藏考点,28
見学,けんがく,名詞,参观,,隐藏考点,28
提出,ていしゅつ,名詞,提交,,隐藏考点,28
調べる,しらべる,動詞,调查,情報を調べる / 原因を調べる / 状況を調べる,隐藏考点,28
ストレス,すとれす,名詞,压力,,隐藏考点,28
出発,しゅっぱつ,名詞,出发,,隐藏考点,28
聞き手,ききて,名詞,听众,,隐藏考点,28
約,やく,接頭辞,大约,,隐藏考点,27
上手,じょうず,形状詞,擅长,上手に使う / 上手に話す / 上手な方法,隐藏考点,27
山,やま,名詞,山,,隐藏考点,27
受付,うけつけ,名詞,接待,,隐藏考点,27
長め,ながめ,形状詞,稍长,少し長め / 長めの時間 / 長めに設定する,隐藏考点,27
夜,よる,名詞,夜晚,,隐藏考点,27
若者,わかもの,名詞,年轻人,,隐藏考点,27
健康,けんこう,名詞,健康,,隐藏考点,27
試合,しあい,名詞,比赛,,隐藏考点,27
日常,にちじょう,名詞,日常,,隐藏考点,27
受け入れる,うけいれる,動詞,接受,意見を受け入れる / 変化を受け入れる / 提案を受け入れる,隐藏考点,27
温度,おんど,名詞,温度,,隐藏考点,27
将来,しょうらい,名詞,将来,,隐藏考点,27
無料,むりょう,名詞,免费,,隐藏考点,27
起きる,おきる,動詞,起床,事件が起きる / 問題が起きる / 変化が起きる,隐藏考点,27
一方,いっぽう,名·接,一个方向；一方面；一直/另一方面，且说,,黄金词,26
寄付,きふ,名·他サ,捐献,お金を寄付する / 物品を寄付する / 団体に寄付する,黄金词,26
コース,こーす,名,课程；路线,,黄金词,26
辛い,つらい,形容詞,辛苦,,隐藏考点,26
テレビ,てれび,名詞,电视,,隐藏考点,26
会う,あう,動詞,见面,友人に会う / 初めて会う / 偶然に会う,隐藏考点,26
アンケート,あんけーと,名詞,问卷,,隐藏考点,26
道路,どうろ,名詞,道路,,隐藏考点,26
乗る,のる,動詞,乘坐,電車に乗る / バスに乗る / 車に乗る,隐藏考点,26
自己,じこ,名詞,自己,,隐藏考点,26
とらえる,とらえる,動詞,抓住,問題をとらえる / 機会をとらえる / 意味をとらえる,隐藏考点,26
就職,しゅうしょく,名詞,就业,,隐藏考点,26
