word,reading,pos,meaning,collocation,count,source,is_n2_core,examples,meaning_detail,quadrant
知る,しる,動詞,知道,事実を知る / 情報を知る / 存在を知る,156,真题,否,結果ははがきでお知らせします。 / また、ある調査によると、 自分の血液型がどんな性格かということを聞いて、知らないうちに自分の,①知道（彼はそれを知っています｜他知道这个）②了解（詳しく知りたいです｜想更详细了解）,隐藏考点
相手,あいて,名詞,对方,相手を思いやる / 相手がいる / 相手に伝える,151,真题,否,相手の心と行動に影響を与え、やる気を出させ / 相手を伸ばしたいという目的を持った行為である。,①对方（相手に伝えてください｜请告诉对方）②对象（相手の気持ちを考える｜考虑对方的感受）,隐藏考点
まず,まず,副詞,首先,まず確認する / まず考える / まず始める,148,真题,否,とバカにさ / まずは人の話しを聞きながら会話に加わる準備をすること,①首先（まずは自己紹介します｜首先自我介绍）②第一（まずやってみましょう｜先试试看）,隐藏考点
同じ,おなじ,連体詞,相同,同じことを言う / 同じように / 同じ人,148,真题,否,地方紙も同じだったと思います。 / 車の運転で事故を起こさない人は会話も同じように慎重に進められるところ,①相同（私たちは同じです｜我们是一样的）②一样（同じ考えを持っています｜有相同的想法）,隐藏考点
多い,おおい,形容詞,多,多い人 / 多いこと / 多い場合,147,真题,否,きっぱなし」 / という人も多いのではないだろうか。,①很多（友達が多いです｜朋友很多）②频繁（この店は多いです｜这家店很忙）,隐藏考点
情報,じょうほう,名詞,信息,情報を得る / 情報が必要 / 情報を共有する,146,真题,否,活字が大きくなって情報が少しだけ減ったこと / 高齢者から情報を絞ったほうが良いという意見があったこと,①信息（最新の情報を得る｜获取最新信息）②情报（重要な情報です｜重要信息）,隐藏考点
商品,しょうひん,名詞,商品,商品を買う / 商品が届く / 商品に関する,139,真题,否,は、おかげさまで順調に売り上げを伸ばして / 昨日夏に販売を開始いたしました商品「エネルギーZ」,①商品（この商品は人気です｜这个商品很受欢迎）②货物（新しい商品が入荷しました｜新货到货了）,隐藏考点
よく,よく,副詞,常常,よく理解する / よく考える / よく使う,134,真题,否,が取り上げられます。 / テレビや雑誌では、よく「血液型性格判断」,①经常（よく行きます｜经常去）②好好地（よく考えてください｜好好考虑）,隐藏考点
選ぶ,えらぶ,動詞,选择,商品を選ぶ / 職業を選ぶ / 方法を選ぶ,129,真题,否,ただ、もし別の仕事を選ん / 自然界の水の循環を考慮して、場所を選んで気を植えたほうがいいと考えること,①选择（好きなものを選ぶ｜选择喜欢的）②挑选（慎重に選びます｜仔细挑选）,隐藏考点
感ずる,かんずる,動詞,感受,痛みを感ずる / 不安を感ずる / 喜びを感ずる,129,真题,否,相手に自分が感じたことをそのまま伝える行為である。 / 努力していると感じるのは自分の主観であり、他の人には理解できないから,①感受到（彼の気持ちが感ずる｜感受到他的心情）②觉得（寒さを感ずる｜感到寒冷）,隐藏考点
理解,りかい,名詞,理解,理解を深める / 理解がある / 理解すること,126,真题,否,これからも様々な国との相互理解を深めていこうと思う。 / ジョン「この『理解』という言葉はどういう意味ですか。,①理解（彼の意見を理解する｜理解他的意见）,隐藏考点
大切,たいせつ,形状詞,重要,大切に扱う / 大切にする / とても大切だ,125,真题,否,(注3) 核心: 一番大切な部分 / よい結果を出すためには他人に自分の努力している姿を見せることが大切だ。,①重要（大切な人｜重要的人）②珍贵（大切な思い出｜珍贵的回忆）,隐藏考点
力,ちから,名詞,力量,力を入れる / 力が必要 / 力を発揮する,124,真题,否,練習でも最高の力を出すこと / 力を肯定的にとらえてみよう。,①力量（力を入れる｜投入力量）②能力（力を発揮する｜发挥能力）,隐藏考点
生活,せいかつ,名詞,生活,生活が豊か / 生活を楽しむ / 生活に必要,124,真题,否,そのためには 「努力」 / 最近忙しくて生活のリズムがみだれている。,①日常生活（生活が楽しい｜生活很快乐）②生存（生活を支える｜支持生活）,隐藏考点
社会,しゃかい,名詞,社会,社会が変わる / 社会に貢献する / 社会の一員,123,真题,否,それは社会人になっても同じです。 / 社会人になったら、 努力している姿は他人にあまり見せないほうがよい。,①社会（社会に貢献する｜为社会贡献）②社交（社会的な活動｜社交活动）,隐藏考点
生,なま,接尾辞,生,生まれる / 生きる / 生き生きと,120,真题,否,を人に見せることをやめてしまいます。 / 私たちはなぜか、 中学、 高校生の頃に「努力する姿」,①生命（生を大切にする｜珍惜生命）②生活（生を楽しむ｜享受生活）,隐藏考点
文章,ぶんしょう,名詞,文章,文章を書く / 文章が長い / 文章を読む,115,真题,否,下の文章は雑誌のコラムです。 / 次のAとBはそれぞれ、ノートやメモの取り方について書かれた文章である。,①文章（文章を書く｜写文章）②文体（文章のスタイル｜文章风格）,隐藏考点
内容,ないよう,名詞,内容,内容が重要 / 内容を確認する / 内容に関する,115,真题,否,とくに辞書は同じ内容で同じデザインで大きな / 以前の紙面は活字の大きさを内容ほど重視していなかった。,①内容（内容が面白い｜内容有趣）②要点（内容をまとめる｜总结内容）,隐藏考点
気持ち,きもち,名詞,心情,気持ちを伝える / 気持ちがわかる / 気持ちが大切,108,真题,否,相手に自然な気持ちを表現させようとする行為である。 / ほめるという行為は、 本来、 自然な気持ちのあらわれです。,①心情（気持ちを伝える｜传达心情）②感受（気持ちがわかる｜理解感受）,隐藏考点
生きる,いきる,動詞,生活,自由に生きる / 社会で生きる / 長く生きる,107,真题,否,力することに対して抵抗感がなくなり、 とても生きやすくなりました。 / たちは、時間を取り返し、もっとゆったりした時間を生きる必要がありそうですね。,①生活、活着（私は元気に生きています｜我活得很好）,隐藏考点
対する,たいする,自サ,面对；关于,文学 [ぶんがく] に対する興味（对文学的兴趣）,106,两者,是,彼は動物に対して深刻な愛情を持っている。 / 力することに対して抵抗感がなくなり、 とても生きやすくなりました。,①对待、面对（彼に対する態度｜对待他的态度）,黄金词
可能,かのう,形状詞,可能,可能にする / 可能な限り / 実現が可能だ,103,真题,否,なんだ」 / ・はがき1枚につき1名のみ受付可能です。,①可能性（それは可能です｜这是可能的）,隐藏考点
気,き,名詞,气,気がする / 気をつける / 気に入る,99,真题,否,自然界の水の循環を考慮して、場所を選んで気を植えたほうがいいと考えること / 字を書いていると、そちらに気を取られて、 (注7) 内容がおるすになりやすい。,①心情、情绪（気が楽になる｜心情变轻松）②气氛、气息（気が重い｜感到沉重）,隐藏考点
入る,はいる,動詞,进入,部屋に入る / 学校に入る / 組織に入る,98,真题,否,に(注1) クラッシュして入るのです。 / 例えば、数人で楽しく盛り上がっているときに、いきなり入ってきて、 自分の話を始める人がいます。,①进入、加入（部屋に入る｜进入房间）,隐藏考点
自身,じしん,名,自己,自身を持つ / 自身がある / 自身に気づく,97,两者,是,結果が完璧でなくても、 「よくやった」 / と自分自身に言えると、他の人の言葉も素直に聞,①自己、本身（自身を大切にする｜珍惜自己）,黄金词
やすい,やすい,接尾辞,容易,やすい方法 / やすい価格 / やすい仕事,97,真题,否,季節のきっかけは風邪をひきやすい。 / なったかがしめされていて、 分かりやすく納得出来るものでした。,①容易、简单（この問題はやすい｜这个问题简单）,隐藏考点
行動,こうどう,名詞,行动,行動を起こす / 行動が早い / 行動に移す,97,真题,否,相手の心と行動に影響を与え、やる気を出させ / 社会貢献に関心はあっても寄付をするのは面倒だと実際の行動には移さない人も少なくなかった。,①行动、举动（行動を起こす｜采取行动）,隐藏考点
高い,たかい,形容詞,高,高い山 / 高い声 / 高い評価,97,真题,否,この仕事には高い語学力が要求される。 / 会話も車の運転も技術が高ければ仲間と楽しい時間を過ごせるところ,①高、贵（この山は高い｜这座山很高）②昂贵（この服は高い｜这件衣服很贵）,隐藏考点
新しい,あたらしい,形容詞,新,新しいアイデア / 新しい友達 / 新しいこと,96,真题,否,新しいパソコンが欲しいが、 / 新しいイメージを次々に重ねてことで、最初の印象は次第に変化していく。,①新的、崭新的（新しい本を買った｜买了新书）,隐藏考点
考え,かんがえ,名詞,想法,考えをまとめる / 考えが変わる / 考えに至る,94,真题,否,社会に出て周囲の人と自分の考えが違った時、どうすればいいか。 / ナーでは相手に自分の考えを効果的に伝えるためのコミュニケーション法を学びます。,①想法（私の考えです｜我的想法）②思考（考えを深める｜深化思考）,隐藏考点
経験,けいけん,名詞,经验,経験を積む / 経験が豊富 / 経験に基づく,94,真题,否,にわずかながらもお小遣いから寄付した経験を持つ人は多いだろう。 / 経験から言うと、同僚や先輩の温かい言葉が耳に入らなくなってしまうのは、そう,①经历（豊富な経験｜丰富的经历）②体验（良い経験をする｜获得好体验）,隐藏考点
話す,はなす,動詞,说话,日本語を話す / 経験を話す / 問題を話す,93,真题,否,とりあえず社長に電話で話しておいた。 / 大勢で話しているときは、 発言しない人により多くの意識を配ってください。,①说话（友達と話す｜和朋友说话）②交谈（彼と話す｜和他交谈）,隐藏考点
能力,のうりょく,名詞,能力,能力を高める / 能力がある / 能力を発揮する,92,真题,否,自分の能力に適した仕事が与えられ無理がないから / 自分の能力や適性と、実際に就いている職業や希望する職業、 あるいは生き方が必要とする能力や適,①能力（高い能力｜高能力）②才能（特別な能力｜特别才能）,隐藏考点
知識,ちしき,名,知识,知識を得る / 知識が豊富 / 知識に基づく,91,两者,是,き出した知識が、短期間にせよ自分の頭の中に、それまでもっていた知識とともに記憶構成されなければ役に立たない。 / どうしても解けないでいた問題を先に解いた人から言われ、 それだったら、 自分のほうが経験が豊富だし、知識がある,①知识（広い知識｜广泛的知识）②学识（知識を深める｜加深知识）,黄金词
訓える,おしえる,動詞,教导,方法を訓える / 知識を訓える,90,真题,否,とるのは(注5)愚だと訓えた。 / この料理を作る方針を教えてください。,①教导（子供を訓える｜教孩子）②训练（技術を訓える｜训练技能）,隐藏考点
食べる,たべる,動詞,吃,料理を食べる / 朝ごはんを食べる / 外食で食べる,88,真题,否,この料理は辛くて食べられない。 / 一人で全部食べないで、私の分も保っておいてください。,①吃（ご飯を食べる｜吃饭）,隐藏考点
大学,だいがく,名詞,高等教育,大学に入る / 大学で学ぶ / 大学がある,88,真题,否,大学に入学してから、一人でくらしています。 / 子供の頃に憧れていた野球選手とか、大学時代に憧れ,①大学（大学に通う｜上大学）②高等教育（大学で学ぶ｜在大学学习）,隐藏考点
結果,けっか,名詞,结果,結果が出る / 結果を確認する / 結果に満足する,88,真题,否,とバカにさ / と評価が下がるのを恐れます。,①结果（良い結果｜好结果）②成果（結果を出す｜取得成果）,隐藏考点
言葉,ことば,名詞,语言,言葉を選ぶ / 言葉が足りない / 言葉にする,86,真题,否,ジョン「この『理解』という言葉はどういう意味ですか。 / 下の文章は、ある人物が自分の人生に影響を与えた言葉について説明したものである。,①语言（言葉を学ぶ｜学习语言）②词汇（新しい言葉｜新词汇）,隐藏考点
大きい,おおきい,形容詞,大,大きい声 / 大きい家 / 大きい問題,86,真题,否,私は練習することで得るものは大きいと思い / つくづく思いますけれど、会話ほど、個人のレベル差が大きいものはありません。,①大，巨大（この木は大きいです｜这棵树很大）②宽广，广阔（大きい空が見える｜能看到广阔的天空）,隐藏考点
意味,いみ,名詞,意义,意味を考える / 意味がある / 意味を理解する,84,真题,否,その意味で、ブレーキのない車を走らせる / ジョン「この『理解』という言葉はどういう意味ですか。,①意思，含义（この言葉の意味は何ですか｜这个词是什么意思？）②重要性，价值（その意味を考えよう｜考虑它的重要性）,隐藏考点
性,せい,接尾辞,性别,性が違う / 性に関する / 性を理解する,84,真题,否,なんだ」 / この病気は人から人へ普及する可能性がある。,①性别，性格（彼女の性は女性です｜她是女性）②性质，特性（この物質の性は特別です｜这种物质的特性很特别）,隐藏考点
出る,でる,動詞,出现,外に出る / 結果が出る / 声が出る,84,真题,否,とバカにさ / と評価が下がるのを恐れます。,①出来，出现（彼が出ると嬉しい｜他出现时很高兴）②离开，出去（家を出る時間です｜该出门了）,隐藏考点
好き,すき,形状詞,喜欢,好きなことをする / 音楽が好き / 好きな食べ物,84,真题,否,は 「乗 / 奥さんが好きなケーキを買っていく,①喜欢，爱好（私は猫が好きです｜我喜欢猫）②偏好，喜好（甘いものが好きです｜我喜欢甜食）,隐藏考点
心,こころ,名詞,心,心が温かい / 心を開く / 心に残る,83,真题,否,相手の心と行動に影響を与え、やる気を出させ / しかし、それでは心が貧しくなってしまいそうです。,①心脏，心情（心が温かいです｜心里很温暖）②思想，意图（彼の心を理解する｜理解他的想法）,隐藏考点
与える,あたえる,動詞,给予,影響を与える / 機会を与える / ダメージを与える,82,真题,否,初対面のときにうけた印象は、その後に持つイメージに影響を与えていく。 / だれとでもよい関係を築いておけば、 初対面の人にもよいイメージを与えられる。,①给予，提供（助けを与える｜给予帮助）②造成，产生（影響を与える｜产生影响）,隐藏考点
参加,さんか,名詞,参与,参加する / 参加が多い / 参加を希望する,81,真题,否,「市民セミナーIII参加希望」 / と明記の上、住所、氏名、年齢、電話番号を記入し,①参与，加入（会議に参加する｜参加会议）②出席，出场（イベントに参加します｜参加活动）,隐藏考点
ページ,ぺーじ,名詞,页面,ページをめくる / ページが多い / ページに書く,81,真题,否,市役所ホームページ (http: / ・市民セミナーのページからお申し込みください。,①页面，页码（このページを見てください｜请看这一页）②网页，版面（ウェブページを開く｜打开网页）,隐藏考点
場所,ばしょ,名詞,地方,場所を決める / 場所が変わる / 場所に行く,79,真题,否,吸えない場所が増えているから / 自然界の水の循環を考慮して、場所を選んで気を植えたほうがいいと考えること,①地方，地点（ここは静かな場所です｜这里是个安静的地方）②场所，场域（イベントの場所は決まった｜活动地点已定）,隐藏考点
買う,かう,動詞,买,商品を買う / 本を買う / 野菜を買う,79,真题,否,アパートの情報誌を買いに行く / この製品を買った人が、アンケートに答えることに協力する。,①购买（本を買う｜买书）②花费（お金を買う｜花钱）,隐藏考点
物,もの,名詞,物品,物を大切にする / 物が多い / 物を買う,79,真题,否,(注4)規格外の農産物も似ている。 / (注5)感受性 (かんじゅせい): 物を感じとる力,①物品（物を買う｜买东西）②东西（何か物がある｜有东西）,隐藏考点
水,みず,接尾辞,水,水を飲む / 水が流れる / 水に入る,77,真题,否,悪くすると地下水が枯れ、川の流 / 自然界の水の循環を考慮して、場所を選んで気を植えたほうがいいと考えること,①水分（水を飲む｜喝水）②液体（水が流れる｜水在流）,隐藏考点
行う,おこなう,動詞,进行,実験を行う / 調査を行う / 式を行う,76,真题,否,今から、 防災訓練を行います。 / 近くの公園でドラマのさつえいが行われた。,①进行（会議を行う｜进行会议）②实施（実験を行う｜进行实验）,隐藏考点
なぜ,なぜ,副詞,为什么,なぜ起こる / なぜ必要か / なぜ大切か,76,真题,否,なぜなら、努力しなくていいことへの / を人に見せることをやめてしまいます。,①为什么（なぜそう思う？｜你为什么这么想？）②为何（なぜ行かないの？｜你为什么不去？）,隐藏考点
車,くるま,名詞,汽车,車を運転する / 車が速い / 車に乗る,75,真题,否,運転で他の車に注意が払える人は会話でも他者に敬意が払えるところ / の車と速度を同じくして会話に加わると、 流れにうまく乗ることができます。,①汽车（車を運転する｜开车）②车辆（車が多い｜车很多）,隐藏考点
大人,おとな,名詞,成年人,大人になる / 大人が多い / 大人に教える,75,真题,否,小学生は、大人と一緒に入場してください。 / 大人になってから、 ああ、あの頃あいつは僕の友,①成年人（大人になる｜成为成年人）②成熟（大人の考え｜成年人的想法）,隐藏考点
表現,ひょうげん,名詞,表达,表現が豊か / 表現を工夫する / 表現すること,74,真题,否,げんこうの表現をやさしくする / 相手に自然な気持ちを表現させようとする行為である。,①表达（感情を表現する｜表达感情）②表现（表現が豊か｜表现丰富）,隐藏考点
説明,せつめい,名詞,说明,説明をする / 説明が必要 / 説明を聞く,74,真题,否,合同企業説明会 (講師: 各企業採用担当者) / 以前の紙面は読者が納得できるほど詳しく説明していなかった。,①解释（説明を聞く｜听解释）②说明（詳しい説明｜详细说明）,隐藏考点
作品,さくひん,名詞,作品,作品を作る / 作品が完成する / 作品に関する,74,真题,否,と呼びました。 / エンデは『モモ』という作品の中で「時間どろぼう」,①作品（芸術作品｜艺术作品）②创作（新しい作品｜新作品）,隐藏考点
希望,きぼう,名詞,希望,希望を持つ / 希望がある / 希望に満ちる,73,真题,否,きぼうのじょうけんを書きだす / 「市民セミナーIII参加希望」,①期望（私は希望を持っています｜我怀有希望）②愿望（彼の希望が叶いますように｜希望能实现）,隐藏考点
変える,かえる,動詞,改变,計画を変える / 方法を変える / 生活を変える,72,真题,否,新聞だって「お客様は神様」 / でしょうから、その「神様」,①改变（彼は考えを変えた｜他改变了想法）②更改（計画を変える必要がある｜需要更改计划）,隐藏考点
重要,じゅうよう,形状詞,重要,重要な役割 / 重要な情報 / 非常に重要だ,72,真题,否,と同じようになるべく花粉に接しないことが重要です。 / 以前の紙面は重要な情報が簡潔にまとめて書かれていなかった。,①重要（これは重要な問題です｜这是个重要问题）②关键（重要な役割を果たす｜发挥重要作用）,隐藏考点
価値,かち,名詞,价值,価値がある / 価値を見出す / 価値を理解する,72,真题,否,努力する姿は、隠すことに価値がある / 文章の価値を決めるのは読み手の存在だ。,①价值（この絵の価値は高い｜这幅画的价值很高）②意义（人生の価値を考える｜思考人生的意义）,隐藏考点
関係,かんけい,名詞,关系,関係が深い / 関係を築く / 関係にある,71,真题,否,などと、こちらが勝手にその人 / 人間関係もきっとさわやかでしょう」,①关系（彼との関係は良好です｜与他的关系很好）②联系（仕事の関係があります｜有工作关系）,隐藏考点
環境,かんきょう,名詞,环境,環境を守る / 環境が大切 / 環境に配慮する,71,真题,否,と言っていいのだろうか。 / 自由に仕事を選べる環境で、誰もが自分に適した仕事をしたいと考えている。,①环境（環境を守ることが大切です｜保护环境很重要）②周围（良い環境で育つ｜在良好的环境中成长）,隐藏考点
楽しむ,たのしむ,動詞,享受,音楽を楽しむ / 旅行を楽しむ / 生活を楽しむ,71,真题,否,そのためには 「努力」 / ゆっくり花を見たり音楽を楽しんだりする、そんな,①享受（映画を楽しむ｜享受电影）②玩乐（友達と遊んで楽しむ｜和朋友一起玩乐）,隐藏考点
夢,ゆめ,名詞,梦想,夢を追う / 夢がある / 夢を叶える,71,真题,否,自分の店を持つという夢が、とうとうかなった。 / 宇宙開発には、 夢はあっても実用的利益は少ない。,①梦想（彼の夢は医者です｜他的梦想是医生）②幻影（夢を見た｜做了个梦）,隐藏考点
次,つぎ,名詞,下一个,次に行く / 次が楽しみ / 次のステップ,70,真题,否,静かに自分の話をしながら次の話題に移るのを待つこと / 今回は時間がないので、次のきっかけに訪れようと思う。,①下一个（次は何をしますか｜下一个做什么？）②接下来（次のステップに進む｜进入下一步）,隐藏考点
世界,せかい,名詞,世界,世界が広がる / 世界に行く / 世界を知る,70,真题,否,れた「植林神話」 / が世界に広がっているそうだ。,①世界（世界は広いです｜世界很广阔）②社会（世界の人々と交流する｜与世界的人交流）,隐藏考点
目,め,名詞,眼睛,目が覚める / 目を閉じる / 目が大きい,70,真题,否,から目をそらしているのではないか。 / (注) 細菌 (さいきん ) 非常に小さくて目に見えない生物,①眼睛（彼は目が大きい。｜他的眼睛很大）②目标（目標を達成する。｜达成目标）,隐藏考点
違う,ちがう,動詞,不同,意見が違う / 方向が違う / 性格が違う,69,真题,否,社会に出て周囲の人と自分の考えが違った時、どうすればいいか。 / わえるし、車と違って座っているだけで目的地に着けるのがいい」。,①不同（考えが違う。｜想法不同）②错误（それは違うよ。｜那是错误的）,隐藏考点
部下,ぶか,名詞,下属,部下を育てる / 部下がいる / 部下に指示する,69,真题,否,部下の作った書類にミスがあるとき、 部下にもう一度 / しかし、共に会社の一員であり、上司には部下を育てる義務がある。,①下属（彼は部下を指導する。｜他指导下属）,隐藏考点
販売,はんばい,名·他サ,贩卖,商品を販売する / 製品を販売する / オンラインで販売する,68,两者,是,は、おかげさまで順調に売り上げを伸ばして / 昨日夏に販売を開始いたしました商品「エネルギーZ」,①销售（商品を販売する。｜销售商品）②贩卖（販売促進活動。｜促销活动）,黄金词
勉強,べんきょう,名詞,学习,勉強をする / 勉強が必要 / 勉強に励む,68,真题,否,そこで、 セミナーや勉強会、 / テストが近いので、深刻に勉強した。,①学习（日本語を勉強する。｜学习日语）②努力（勉強が大切だ。｜努力学习很重要）,隐藏考点
意識,いしき,名,意识,意識を失う（失去知觉）,67,两者,是,大勢で話しているときは、 発言しない人により多くの意識を配ってください。 / 自分の発現量を意識しながら、 おとなしい人にも話してもらうようにすること,①意识（意識を高める。｜提高意识）②意识到（問題に意識する。｜意识到问题。）,黄金词
正しい,ただしい,形容詞,正确,正しい答え / 正しい方法 / 正しい情報,67,真题,否,彼はとてもれいぎ正しいです。 / から4の中から、正しい答えを一つ選んでください。,①正确（正しい答え。｜正确的答案。）②合适（正しい方法。｜合适的方法。）,隐藏考点
すべて,すべて,名詞,全部,すべての人 / すべてのこと / すべての時間,67,真题,否,使用後の水はリサイクルされ、 再生装置からすべて供給される。 / 基本的なことは、話の内容をいちいちすべてメモしまい、ということである。,①全部（すべての人。｜所有的人。）②所有（すべてのこと。｜所有的事情。）,隐藏考点
最も,もっとも,副詞,最,最も重要な / 最も効果的な / 最も一般的な,67,真题,否,自分に最も合っている仕事 / それから話を聞いて、問題用紙の1から4の中から、最も,①最（最も大きい。｜最大的。）②最为（最も重要なこと。｜最重要的事情。）,隐藏考点
興味,きょうみ,名詞,兴趣,興味を持つ / 興味がある / 興味を示す,67,真题,否,話の内容に興味が持てるようにするため / (注2)好奇心 : 新しいに対する興味,①兴趣（彼は映画に興味がある。｜他对电影感兴趣。）②好奇心（興味を持つ。｜保持好奇心。）,隐藏考点
強い,つよい,形容詞,强,強い意志 / 強い影響 / 強い風,67,真题,否,せいしんてきに強くなったこと / 彼は責任感が強く、この仕事のリーダーにふさわしい。,①强壮，坚强（彼は強いです。｜他很强壮。）②强烈，猛烈（風が強い。｜风很大。）,隐藏考点
悪い,わるい,形容詞,坏,悪い影響 / 悪い習慣 / 悪い結果,66,真题,否,そこまで悪く言わなくてもいいだろう / 最近は、天気の悪い日が続出している。,①坏，不好（悪いことをした。｜做了坏事。）②有害，恶劣（悪い影響。｜有害的影响。）,隐藏考点
